transaction_id,user_id,transaction_amount,transaction_time,payment_method,location,fraud_label
201,1,300.00,2024-08-15 10:30:00,Credit Card,New York,0
202,2,1500.00,2024-08-16 12:45:00,PayPal,Los Angeles,0
203,3,450.00,2024-08-17 09:20:00,Debit Card,Chicago,0
204,4,2200.00,2024-08-18 14:00:00,Credit Card,Houston,0
205,5,50.00,2024-08-19 16:10:00,Credit Card,San Francisco,0
206,6,900.00,2024-08-20 11:30:00,Bank Transfer,Miami,0
207,7,700.00,2024-08-21 13:50:00,Debit Card,Seattle,0
208,8,1800.00,2024-08-22 10:10:00,PayPal,Denver,0
209,9,80.00,2024-08-23 15:00:00,Credit Card,Boston,0
210,10,2500.00,2024-08-24 17:20:00,Bank Transfer,Atlanta,0
211,1,600.00,2024-08-25 10:00:00,Credit Card,New York,0
212,3,1200.00,2024-08-26 11:30:00,Credit Card,Chicago,0
213,4,75.00,2024-08-27 14:50:00,Debit Card,Houston,0
214,2,300.00,2024-08-28 13:15:00,Bank Transfer,Los Angeles,0
215,6,500.00,2024-08-29 09:40:00,Credit Card,Miami,0
216,9,1000.00,2024-08-29 12:00:00,PayPal,Boston,0
217,10,150.00,2024-08-29 13:30:00,Debit Card,Atlanta,0
218,7,220.00,2024-08-29 14:10:00,Credit Card,Seattle,0
219,8,1700.00,2024-08-29 15:45:00,Bank Transfer,Denver,0
220,5,200.00,2024-08-29 16:20:00,Debit Card,San Francisco,0
